epoch,optimizer,lr,rho,rho_min,rho_max,dynamic,adaptive_power,eta,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,dynamic_improved_sam,0.01,0.01,0.001,0.05,True,1.0,0.01,1.5533614582061768,0.4234,1.3025064920425415,0.5374,0.5374,63.91916632652283
2,dynamic_improved_sam,0.01,0.02,0.001,0.05,True,1.0,0.01,1.0857839134407044,0.6091,0.9937301843643188,0.6359,0.6359,62.57110929489136
3,dynamic_improved_sam,0.01,0.030000000000000006,0.001,0.05,True,1.0,0.01,0.8490734127426147,0.69924,0.7762764902114868,0.7261,0.7261,62.4139130115509
4,dynamic_improved_sam,0.01,0.04,0.001,0.05,True,1.0,0.01,0.7197321370887756,0.74652,0.661583263874054,0.7688,0.7688,62.85876536369324
5,dynamic_improved_sam,0.01,0.05,0.001,0.05,True,1.0,0.01,0.62718665102005,0.78166,0.6775855405807495,0.7755,0.7755,62.89043211936951
6,dynamic_improved_sam,0.01,0.04998660480485269,0.001,0.05,True,1.0,0.01,0.5533941795253754,0.80736,0.5807659391880036,0.8004,0.8004,62.351208209991455
7,dynamic_improved_sam,0.01,0.04994643386685998,0.001,0.05,True,1.0,0.01,0.5010454884147644,0.8262,0.5638597256660461,0.8082,0.8082,62.52714228630066
8,dynamic_improved_sam,0.01,0.049879531112352785,0.001,0.05,True,1.0,0.01,0.45695400796890256,0.84298,0.49664132719039916,0.831,0.831,62.1393141746521
9,dynamic_improved_sam,0.01,0.049785969698510894,0.001,0.05,True,1.0,0.01,0.4206534709739685,0.85444,0.4723682002544403,0.8398,0.8398,62.40644812583923
10,dynamic_improved_sam,0.01,0.0496658519333667,0.001,0.05,True,1.0,0.01,0.39146671117782594,0.86544,0.5096632518529892,0.8292,0.8398,62.20666813850403
11,dynamic_improved_sam,0.01,0.04951930916393283,0.001,0.05,True,1.0,0.01,0.36485566904067995,0.87618,0.3911400016307831,0.8634,0.8634,62.29822778701782
12,dynamic_improved_sam,0.01,0.049346501632576145,0.001,0.05,True,1.0,0.01,0.3379072577381134,0.88462,0.4226449323654175,0.8509,0.8634,62.68589997291565
13,dynamic_improved_sam,0.01,0.049147618301795044,0.001,0.05,True,1.0,0.01,0.3169046776771545,0.89012,0.42178230676651,0.8533,0.8634,62.59113550186157
14,dynamic_improved_sam,0.01,0.04892287664759176,0.001,0.05,True,1.0,0.01,0.2997950349807739,0.89774,0.3757759022474289,0.8705,0.8705,62.279541015625
15,dynamic_improved_sam,0.01,0.048672522421665546,0.001,0.05,True,1.0,0.01,0.2795865683555603,0.9046,0.37127057180404666,0.8755,0.8755,62.547327756881714
16,dynamic_improved_sam,0.01,0.048396829382686794,0.001,0.05,True,1.0,0.01,0.26237405530929564,0.91172,0.37396489329338073,0.875,0.8755,62.677536964416504
17,dynamic_improved_sam,0.01,0.04809609899694593,0.001,0.05,True,1.0,0.01,0.2505982185840607,0.91524,0.3852139820814133,0.87,0.8755,62.508570194244385
18,dynamic_improved_sam,0.01,0.04777066010870448,0.001,0.05,True,1.0,0.01,0.23626017674446106,0.9203,0.3623278837442398,0.8779,0.8779,62.628259897232056
19,dynamic_improved_sam,0.01,0.047420868580608705,0.001,0.05,True,1.0,0.01,0.22358842253684996,0.9242,0.3226354737281799,0.8922,0.8922,62.660306453704834
20,dynamic_improved_sam,0.01,0.04704710690455898,0.001,0.05,True,1.0,0.01,0.2093647933959961,0.9296,0.3422037732362747,0.886,0.8922,62.674041509628296
21,dynamic_improved_sam,0.01,0.04664978378346057,0.001,0.05,True,1.0,0.01,0.197161751537323,0.9337,0.3262760330200195,0.8879,0.8922,62.611268281936646
22,dynamic_improved_sam,0.01,0.046229333684312916,0.001,0.05,True,1.0,0.01,0.18572962581157684,0.93806,0.33985459990501404,0.8826,0.8922,62.511988401412964
23,dynamic_improved_sam,0.01,0.04578621636312649,0.001,0.05,True,1.0,0.01,0.18154153633117676,0.9411,0.3461628787517548,0.8849,0.8922,62.23366904258728
24,dynamic_improved_sam,0.01,0.045320916362186214,0.001,0.05,True,1.0,0.01,0.17076296070575714,0.9447,0.34235788300037384,0.8875,0.8922,62.76674771308899
25,dynamic_improved_sam,0.01,0.04483394248021165,0.001,0.05,True,1.0,0.01,0.1625970541858673,0.94734,0.31218271522521973,0.8949,0.8949,62.62150979042053
26,dynamic_improved_sam,0.01,0.04432582721599305,0.001,0.05,True,1.0,0.01,0.15371579483032227,0.9496,0.33416708233356474,0.8859,0.8949,61.98840355873108
27,dynamic_improved_sam,0.01,0.04379712618611177,0.001,0.05,True,1.0,0.01,0.14540779501438142,0.95226,0.2887208063602448,0.906,0.906,62.050429582595825
28,dynamic_improved_sam,0.01,0.04324841751738168,0.001,0.05,True,1.0,0.01,0.13960250140428543,0.955,0.33574371275901793,0.8904,0.906,62.66078853607178
29,dynamic_improved_sam,0.01,0.04268030121467597,0.001,0.05,True,1.0,0.01,0.13458098147392272,0.95692,0.33662528734207153,0.8885,0.906,62.40182185173035
30,dynamic_improved_sam,0.01,0.04209339850483066,0.001,0.05,True,1.0,0.01,0.12671287870764733,0.95906,0.3162104371070862,0.8941,0.906,62.50163555145264
31,dynamic_improved_sam,0.01,0.04148835115734213,0.001,0.05,True,1.0,0.01,0.1180996655511856,0.96236,0.2931643804073334,0.9021,0.906,62.515881299972534
32,dynamic_improved_sam,0.01,0.04086582078260166,0.001,0.05,True,1.0,0.01,0.11740348380565643,0.96254,0.28135807628631593,0.9079,0.9079,62.34370994567871
33,dynamic_improved_sam,0.01,0.040226488108434114,0.001,0.05,True,1.0,0.01,0.1114930374622345,0.96446,0.31025415246486665,0.8996,0.9079,62.18605947494507
34,dynamic_improved_sam,0.01,0.03957105223573212,0.001,0.05,True,1.0,0.01,0.10711653935909271,0.96576,0.30673642773628235,0.9001,0.9079,62.329344272613525
35,dynamic_improved_sam,0.01,0.038900229873999465,0.001,0.05,True,1.0,0.01,0.10176240423679352,0.96774,0.279615022611618,0.9105,0.9105,62.395405769348145
36,dynamic_improved_sam,0.01,0.03821475455763978,0.001,0.05,True,1.0,0.01,0.09670879168272019,0.9702,0.3109464208602905,0.8999,0.9105,62.57719922065735
37,dynamic_improved_sam,0.01,0.037515375843847454,0.001,0.05,True,1.0,0.01,0.09376412881851197,0.97078,0.28998407735824583,0.9055,0.9105,62.52755570411682
38,dynamic_improved_sam,0.01,0.036802858492977854,0.001,0.05,True,1.0,0.01,0.09145160776734353,0.97116,0.2960158757686615,0.9071,0.9105,62.16409707069397
39,dynamic_improved_sam,0.01,0.036077981632293074,0.001,0.05,True,1.0,0.01,0.08578692680358886,0.97432,0.2938318180561066,0.9063,0.9105,62.14537501335144
40,dynamic_improved_sam,0.01,0.03534153790399776,0.001,0.05,True,1.0,0.01,0.07971843385696412,0.9758,0.2766827214717865,0.9102,0.9105,62.324989557266235
41,dynamic_improved_sam,0.01,0.03459433259849641,0.001,0.05,True,1.0,0.01,0.08313574341773987,0.97438,0.2755191054344177,0.9086,0.9105,62.307493925094604
42,dynamic_improved_sam,0.01,0.03383718277382026,0.001,0.05,True,1.0,0.01,0.08120806509256363,0.97502,0.31390653443336486,0.901,0.9105,62.46119785308838
43,dynamic_improved_sam,0.01,0.03307091636218622,0.001,0.05,True,1.0,0.01,0.07501175816297531,0.9779,0.2836493037700653,0.9106,0.9106,62.357643842697144
44,dynamic_improved_sam,0.01,0.0322963712646652,0.001,0.05,True,1.0,0.01,0.07367064499378205,0.97782,0.27399788155555727,0.9117,0.9117,62.473925828933716
45,dynamic_improved_sam,0.01,0.03151439443494958,0.001,0.05,True,1.0,0.01,0.06783752218723298,0.9799,0.29146208757162095,0.9076,0.9117,62.419697284698486
46,dynamic_improved_sam,0.01,0.0307258409532218,0.001,0.05,True,1.0,0.01,0.06851185858249664,0.97942,0.28111116127967833,0.912,0.912,62.12569713592529
47,dynamic_improved_sam,0.01,0.0299315730911367,0.001,0.05,True,1.0,0.01,0.06895954838514327,0.97908,0.3004782686710358,0.9034,0.912,62.48664402961731
48,dynamic_improved_sam,0.01,0.02913245936894013,0.001,0.05,True,1.0,0.01,0.06518059622526169,0.98136,0.2794410449504852,0.911,0.912,62.40768098831177
49,dynamic_improved_sam,0.01,0.028329373605754868,0.001,0.05,True,1.0,0.01,0.06297778920412063,0.98114,0.2884858749389648,0.9078,0.912,62.46674299240112
50,dynamic_improved_sam,0.01,0.027523193964072146,0.001,0.05,True,1.0,0.01,0.06182593900680542,0.9817,0.3188060154914856,0.9006,0.912,62.319536209106445
51,dynamic_improved_sam,0.01,0.02671480198949395,0.001,0.05,True,1.0,0.01,0.05921746705651283,0.98286,0.29703696146011355,0.9074,0.912,62.45244789123535
52,dynamic_improved_sam,0.01,0.02590508164677579,0.001,0.05,True,1.0,0.01,0.05763015745639801,0.98298,0.31022438626289367,0.9066,0.912,62.43199801445007
53,dynamic_improved_sam,0.01,0.025094918353224218,0.001,0.05,True,1.0,0.01,0.0571917026925087,0.98306,0.3388758379936218,0.8952,0.912,62.301740407943726
54,dynamic_improved_sam,0.01,0.024285198010506052,0.001,0.05,True,1.0,0.01,0.05349955147504806,0.98466,0.30799593105316164,0.9049,0.912,62.09511971473694
55,dynamic_improved_sam,0.01,0.02347680603592786,0.001,0.05,True,1.0,0.01,0.0542003545665741,0.9836,0.2980302067756653,0.9119,0.912,62.28058052062988
56,dynamic_improved_sam,0.01,0.022670626394245143,0.001,0.05,True,1.0,0.01,0.05411394123792648,0.98444,0.2682267454147339,0.9124,0.9124,62.2701461315155
57,dynamic_improved_sam,0.01,0.021867540631059872,0.001,0.05,True,1.0,0.01,0.04963237204313278,0.98614,0.2945220111846924,0.9117,0.9124,62.01799201965332
58,dynamic_improved_sam,0.01,0.021068426908863316,0.001,0.05,True,1.0,0.01,0.05308059277534485,0.98402,0.2901986252784729,0.9112,0.9124,61.9368360042572
59,dynamic_improved_sam,0.01,0.020274159046778206,0.001,0.05,True,1.0,0.01,0.04986701967597008,0.98506,0.2730143943786621,0.9143,0.9143,62.116833209991455
60,dynamic_improved_sam,0.01,0.019485605565050423,0.001,0.05,True,1.0,0.01,0.05158505346775055,0.9848,0.3215006851196289,0.9048,0.9143,62.3122878074646
61,dynamic_improved_sam,0.01,0.018703628735334814,0.001,0.05,True,1.0,0.01,0.05039144254267216,0.98472,0.2906778116703033,0.9122,0.9143,62.25841546058655
62,dynamic_improved_sam,0.01,0.017929083637813793,0.001,0.05,True,1.0,0.01,0.050336689314842226,0.98562,0.28294820185899733,0.9148,0.9148,62.01156210899353
63,dynamic_improved_sam,0.01,0.017162817226179745,0.001,0.05,True,1.0,0.01,0.05021524287939071,0.98466,0.3166169672012329,0.9075,0.9148,62.25423240661621
64,dynamic_improved_sam,0.01,0.01640566740150359,0.001,0.05,True,1.0,0.01,0.0487660147023201,0.98536,0.28784670860767364,0.9115,0.9148,62.14576601982117
65,dynamic_improved_sam,0.01,0.015658462096002253,0.001,0.05,True,1.0,0.01,0.04892814936280251,0.98516,0.3054847759246826,0.9107,0.9148,62.28254723548889
66,dynamic_improved_sam,0.01,0.014922018367706926,0.001,0.05,True,1.0,0.01,0.048887940193414685,0.98512,0.2937075737953186,0.9099,0.9148,62.16752290725708
67,dynamic_improved_sam,0.01,0.014197141507022153,0.001,0.05,True,1.0,0.01,0.05037726173758507,0.98474,0.29374874668121337,0.9125,0.9148,62.23263192176819
68,dynamic_improved_sam,0.01,0.01348462415615256,0.001,0.05,True,1.0,0.01,0.0460537290251255,0.98646,0.32678080434799195,0.906,0.9148,62.16408109664917
69,dynamic_improved_sam,0.01,0.012785245442360236,0.001,0.05,True,1.0,0.01,0.04841768821597099,0.98552,0.2823160708427429,0.914,0.9148,62.109495878219604
70,dynamic_improved_sam,0.01,0.012099770126000546,0.001,0.05,True,1.0,0.01,0.04797201555252075,0.98494,0.27026509532928467,0.9161,0.9161,62.25647234916687
71,dynamic_improved_sam,0.01,0.011428947764267883,0.001,0.05,True,1.0,0.01,0.04769340661227703,0.98508,0.30156805047988894,0.9114,0.9161,62.28068470954895
72,dynamic_improved_sam,0.01,0.010773511891565887,0.001,0.05,True,1.0,0.01,0.04650415872573853,0.98592,0.40192757244110106,0.8876,0.9161,62.20194864273071
73,dynamic_improved_sam,0.01,0.010134179217398342,0.001,0.05,True,1.0,0.01,0.04755363734722137,0.98482,0.302238609790802,0.9103,0.9161,62.22840118408203
74,dynamic_improved_sam,0.01,0.009511648842657868,0.001,0.05,True,1.0,0.01,0.05213511253118515,0.98346,0.3287676654100418,0.9034,0.9161,62.23648500442505
75,dynamic_improved_sam,0.01,0.00890660149516935,0.001,0.05,True,1.0,0.01,0.04752523464679718,0.9852,0.2931332899570465,0.9157,0.9161,62.2724506855011
76,dynamic_improved_sam,0.01,0.00831969878532403,0.001,0.05,True,1.0,0.01,0.05094988919496536,0.98412,0.3292032260417938,0.9026,0.9161,62.28649187088013
77,dynamic_improved_sam,0.01,0.007751582482618321,0.001,0.05,True,1.0,0.01,0.05090365272164345,0.98384,0.3043952531337738,0.9104,0.9161,62.230223178863525
78,dynamic_improved_sam,0.01,0.0072028738138882374,0.001,0.05,True,1.0,0.01,0.0465104838514328,0.98542,0.30924322032928464,0.911,0.9161,62.36635136604309
79,dynamic_improved_sam,0.01,0.006674172784006959,0.001,0.05,True,1.0,0.01,0.048097983305454256,0.98504,0.2940189589500427,0.9152,0.9161,62.27636194229126
80,dynamic_improved_sam,0.01,0.006166057519788361,0.001,0.05,True,1.0,0.01,0.049865530635118484,0.98434,0.3076904938697815,0.9145,0.9161,62.263795375823975
81,dynamic_improved_sam,0.01,0.00567908363781379,0.001,0.05,True,1.0,0.01,0.04653046208977699,0.98504,0.3212726694107056,0.9115,0.9161,62.16772413253784
82,dynamic_improved_sam,0.01,0.005213783636873509,0.001,0.05,True,1.0,0.01,0.054508943572044374,0.98222,0.3045898077011108,0.9113,0.9161,62.346914529800415
83,dynamic_improved_sam,0.01,0.00477066631568708,0.001,0.05,True,1.0,0.01,0.05785632586956024,0.98094,0.29475154962539674,0.9134,0.9161,62.23890924453735
84,dynamic_improved_sam,0.01,0.00435021621653944,0.001,0.05,True,1.0,0.01,0.05377830874204636,0.98284,0.36488006381988525,0.8983,0.9161,62.15110969543457
85,dynamic_improved_sam,0.01,0.00395289309544102,0.001,0.05,True,1.0,0.01,0.05385569217920303,0.98224,0.30506866006851197,0.9131,0.9161,62.240886926651
86,dynamic_improved_sam,0.01,0.003579131419391295,0.001,0.05,True,1.0,0.01,0.050381443711519244,0.9833,0.32875265626907346,0.9065,0.9161,62.41606283187866
87,dynamic_improved_sam,0.01,0.0032293398912955186,0.001,0.05,True,1.0,0.01,0.053681313314437866,0.9823,0.4153913529396057,0.8866,0.9161,62.2889244556427
88,dynamic_improved_sam,0.01,0.002903901003054074,0.001,0.05,True,1.0,0.01,0.050830740106105804,0.98322,0.35256955308914184,0.9066,0.9161,62.10091781616211
89,dynamic_improved_sam,0.01,0.002603170617313212,0.001,0.05,True,1.0,0.01,0.05563613887310028,0.9821,0.3185147420406342,0.9079,0.9161,62.17733454704285
90,dynamic_improved_sam,0.01,0.002327477578334451,0.001,0.05,True,1.0,0.01,0.05452315329670906,0.98174,0.35753757395744323,0.9033,0.9161,62.289750814437866
91,dynamic_improved_sam,0.01,0.0020771233524082377,0.001,0.05,True,1.0,0.01,0.05517992266178131,0.98236,0.34749443912506106,0.9038,0.9161,62.29087495803833
92,dynamic_improved_sam,0.01,0.0018523816982049602,0.001,0.05,True,1.0,0.01,0.05312684074878692,0.98364,0.35621669721603394,0.9,0.9161,62.17548131942749
93,dynamic_improved_sam,0.01,0.0016534983674238593,0.001,0.05,True,1.0,0.01,0.05522121875822544,0.98196,0.3313473446846008,0.9073,0.9161,62.191346645355225
94,dynamic_improved_sam,0.01,0.0014806908360671708,0.001,0.05,True,1.0,0.01,0.06060855662107468,0.97958,0.43465792355537414,0.8861,0.9161,62.50209331512451
95,dynamic_improved_sam,0.01,0.001334148066633303,0.001,0.05,True,1.0,0.01,0.05681037083387375,0.98096,0.3195290809392929,0.9116,0.9161,62.25835156440735
96,dynamic_improved_sam,0.01,0.0012140303014891078,0.001,0.05,True,1.0,0.01,0.05511569489240646,0.98194,0.3172157900810242,0.9117,0.9161,62.18274259567261
97,dynamic_improved_sam,0.01,0.0011204688876472204,0.001,0.05,True,1.0,0.01,0.058631681253910065,0.98088,0.3303845076560974,0.9087,0.9161,62.0842125415802
98,dynamic_improved_sam,0.01,0.0010535661331400239,0.001,0.05,True,1.0,0.01,0.05404834505081177,0.98246,0.3141385026931763,0.9098,0.9161,62.30064654350281
99,dynamic_improved_sam,0.01,0.0010133951951473118,0.001,0.05,True,1.0,0.01,0.05445829333305359,0.9814,0.3425673303604126,0.9016,0.9161,62.13487362861633
100,dynamic_improved_sam,0.01,0.001,0.001,0.05,True,1.0,0.01,0.05388709878444672,0.98254,0.3043999767303467,0.914,0.9161,62.283133029937744
